S/N,NAME,GENDER,PARTY,VOTES,ELECTED,SENATORIAL DISTRICT,STATE,ELECTION-TYPE,ZONE
20,OKOLO LOUIS UGWU,MALE,ID,194,,,ENUGU,GOVERNORSHIP,ENUGU
21,UGWU MARTINS CHIESOZIB,MALE,JMPP,36,,,ENUGU,GOVERNORSHIP,ENUGU
22,CHINEDU ANUCHE,MALE,KP,93,,,ENUGU,GOVERNORSHIP,ENUGU
23,GERALD ABONYI (ESQ),MALE,LP,61,,,ENUGU,GOVERNORSHIP,ENUGU
24,OSITA AGU,MALE,MMN,10,,,ENUGU,GOVERNORSHIP,ENUGU
25,IFEOMA NNOLI-UDEZE,FEMALE,MPN,54,,,ENUGU,GOVERNORSHIP,ENUGU
26,EDWIN EGBUABA NGENE,MALE,MRDD,7,,,ENUGU,GOVERNORSHIP,ENUGU
27,ORJI JIDE ABRAHAM,MALE,NAC,7,,,ENUGU,GOVERNORSHIP,ENUGU
28,ODUMEJEMBA CHINONYELUM VICGEAIAL,MALE,NCP,10,,,ENUGU,GOVERNORSHIP,ENUGU
29,OKONKWO CHIGOZIE AUGUSTINE,MALE,NEPP,48,,,ENUGU,GOVERNORSHIP,ENUGU
30,OZOEMENE MAUREEN ONWUNTA,FEMALE,NIP,53,,,ENUGU,GOVERNORSHIP,ENUGU
31,PRINCE ONYISHI SUNDAY CHUKWUEMEKA,MALE,NNPP,83,,,ENUGU,GOVERNORSHIP,ENUGU
32,UGWUANYI CELESTINA ANITA,FEMALE,NRM,145,,,ENUGU,GOVERNORSHIP,ENUGU
33,ONYEKA CHINEDU,MALE,NUP,463,,,ENUGU,GOVERNORSHIP,ENUGU
,,,,,Declared,,ENUGU,GOVERNORSHIP,ENUGU
34,IFEANYI LAWRENCE UGWUANYI,MALE,PDP,"449,935",,,ENUGU,GOVERNORSHIP,ENUGU
,,,,,Elected,,ENUGU,GOVERNORSHIP,ENUGU
35,OWOH CELESTINE CHUUKWUDI,MALE,PPC,271,,,ENUGU,GOVERNORSHIP,ENUGU
36,NNAMANI OBIOMA N,MALE,PPN,174,,,ENUGU,GOVERNORSHIP,ENUGU
37,NWEZE HYACINTH,MALE,RBNP,75,,,ENUGU,GOVERNORSHIP,ENUGU
1,S. BIKIMCHA AISHATU,FEMALE,A,62,,,GOMBE,GOVERNORSHIP,GOMBE
2,ALKALI VICTOR LAIMA,MALE,AAP,210,,,GOMBE,GOVERNORSHIP,GOMBE
3,JEREMIAH M. GADO,MALE,ABP,"9,241",,,GOMBE,GOVERNORSHIP,GOMBE
4,MOHAMMED INUWA MUSA,MALE,ACD,381,,,GOMBE,GOVERNORSHIP,GOMBE
5,ALHAJI KWARANGA M. MAGAJI,MALE,AD,257,,,GOMBE,GOVERNORSHIP,GOMBE
6,MUHAMMED ADAMU,MALE,ADC,883,,,GOMBE,GOVERNORSHIP,GOMBE
7,PAUL I. ANAWI,MALE,ADP,246,,,GOMBE,GOVERNORSHIP,GOMBE
8,MUHAMMAD AUWAL IBRAHIM,MALE,AGA,"1,080",,,GOMBE,GOVERNORSHIP,GOMBE
,,,,,Declared,,GOMBE,GOVERNORSHIP,GOMBE
9,MOHAMMED INUWA YAHAYA,MALE,APC,"364,179",,,GOMBE,GOVERNORSHIP,GOMBE
,,,,,Elected,,GOMBE,GOVERNORSHIP,GOMBE
10,ABDULLAHI UMAR MOHAMMED,MALE,APDA,634,,,GOMBE,GOVERNORSHIP,GOMBE
11,ALIYU ADAMU,MALE,ASD,917,,,GOMBE,GOVERNORSHIP,GOMBE
12,ABDULHAMID SADDIQ,MALE,BNPP,67,,,GOMBE,GOVERNORSHIP,GOMBE
13,HUSSAINI YUSUF,MALE,CAP,141,,,GOMBE,GOVERNORSHIP,GOMBE
14,USMAN ISA ADAMU,MALE,DA,54,,,GOMBE,GOVERNORSHIP,GOMBE
15,BELLO BALA,MALE,DPP,"1,032",,,GOMBE,GOVERNORSHIP,GOMBE
16,UMAR AL'AMIN ABUBAKAR,MALE,GDPN,106,,,GOMBE,GOVERNORSHIP,GOMBE
17,ABBAS USMAN,MALE,GPN,49,,,GOMBE,GOVERNORSHIP,GOMBE
18,UMAR ABDULLAHI ADAMU,MALE,HDP,44,,,GOMBE,GOVERNORSHIP,GOMBE
19,DANIEL GABAR MADDO,MALE,JMPP,259,,,GOMBE,GOVERNORSHIP,GOMBE
20,SAAH LAWAN,MALE,LP,225,,,GOMBE,GOVERNORSHIP,GOMBE
21,ISAH LAWAN,MALE,MMN,92,,,GOMBE,GOVERNORSHIP,GOMBE
22,BALA ALARAMMA,MALE,MPN,101,,,GOMBE,GOVERNORSHIP,GOMBE
23,ABDULLAHI SALE,MALE,NAC,138,,,GOMBE,GOVERNORSHIP,GOMBE
24,HASHIMU DAUDA,MALE,NCMP,188,,,GOMBE,GOVERNORSHIP,GOMBE
25,UMAR AHMED,MALE,NRM,136,,,GOMBE,GOVERNORSHIP,GOMBE
26,JUNGUDO ADAMU JUNGUDO,MALE,PDC,"1,720",,,GOMBE,GOVERNORSHIP,GOMBE
27,NAFADA USMAN BAYERO,MALE,PDP,"222,868",,,GOMBE,GOVERNORSHIP,GOMBE
28,ABDUL-GHANIY BELLO MUHAMMAD,MALE,PRP,847,,,GOMBE,GOVERNORSHIP,GOMBE
29,RUFAI AHMED ALKALI,MALE,SDP,"2,356",,,GOMBE,GOVERNORSHIP,GOMBE
30,DAVID MORONDIYA AIYE,MALE,UPN,169,,,GOMBE,GOVERNORSHIP,GOMBE
31,HARUNA YUSUF,MALE,YES,83,,,GOMBE,GOVERNORSHIP,GOMBE
32,MUHAMMAD GANA ALIYU,MALE,ZLP,81,,,GOMBE,GOVERNORSHIP,GOMBE
1,OHAKIM IKEDI GODSON,MALE,A,"6,846",,,IMO,GOVERNORSHIP,IMO
2,NWOSU UCHE,MALE,AA,"190,364",,,IMO,GOVERNORSHIP,IMO
3,OMEOGU-OGBUTA CHIDIEBERE,FEMALE,AAC,"1,628",,,IMO,GOVERNORSHIP,IMO
4,AGUOCHA CHIDIEBERE,MALE,AAP,"1,657",,,IMO,GOVERNORSHIP,IMO
5,JEFFREY CHINEDU UZOR,MALE,ABP,83,,,IMO,GOVERNORSHIP,IMO
6,FRIDAY ODINAKA EMEREONWU,MALE,ACD,204,,,IMO,GOVERNORSHIP,IMO
7,STEPHEN N. OHIRI,MALE,ACPN,242,,,IMO,GOVERNORSHIP,IMO
8,EDWIN CHIGOZIE UCHE,MALE,AD,397,,,IMO,GOVERNORSHIP,IMO
9,CHUKWU EJIKE LUCKY,MALE,ADC,738,,,IMO,GOVERNORSHIP,IMO
10,OBIOMA SUCCESS AKAGBURUONYE,MALE,ADP,413,,,IMO,GOVERNORSHIP,IMO
11,OLEHI NGOZI CHIDO,MALE,AGA,318,,,IMO,GOVERNORSHIP,IMO
12,OKONYA EDWARD CHUKWUKA,MALE,AGAP,"1,345",,,IMO,GOVERNORSHIP,IMO
13,EKEH NOSIKE COLLINS,MALE,ANDP,86,,,IMO,GOVERNORSHIP,IMO
14,PASCHAL EJIOGU,MALE,ANN,171,,,IMO,GOVERNORSHIP,IMO
15,EKWERIKE ALPHONSUS I.N,MALE,ANRP,981,,,IMO,GOVERNORSHIP,IMO
16,UZODINMA HOPE ODIDIKA,MALE,APC,"96,458",,,IMO,GOVERNORSHIP,IMO
17,NWOSU BRADY CHIJIOKE,MALE,APDA,"2,491",,,IMO,GOVERNORSHIP,IMO
18,ARARAUME IFEANYI GODWIN,MALE,APGA,"114,676",,,IMO,GOVERNORSHIP,IMO
19,EDOZIEM CLINTON CHIBUIKE,MALE,APM,688,,,IMO,GOVERNORSHIP,IMO
20,OPARAOCHA BRUNO CHIDIEBERE,MALE,APP,244,,,IMO,GOVERNORSHIP,IMO
21,MBA ANTHONY ONYEGBULA,MALE,ASD,183,,,IMO,GOVERNORSHIP,IMO
22,MBANEFO CHRIS EZUMA,MALE,AUN,55,,,IMO,GOVERNORSHIP,IMO
23,ABANNO BARNABAS CHIBUZOR,MALE,C4C,26,,,IMO,GOVERNORSHIP,IMO
24,IKENNA CHUKWUNENYE EMMANUEL,MALE,CAP,125,,,IMO,GOVERNORSHIP,IMO
25,CLIFFORD OKECHUKWU E.,MALE,DA,163,,,IMO,GOVERNORSHIP,IMO
26,IBE KYRIAN UCHENNA,MALE,DPC,798,,,IMO,GOVERNORSHIP,IMO
27,IBE MERCY ADAKU,FEMALE,DPP,271,,,IMO,GOVERNORSHIP,IMO
28,TONY ONYERUGBULEM,MALE,FJP,243,,,IMO,GOVERNORSHIP,IMO
29,OCHIAMA OTIBE EXCEL,MALE,FRESH,40,,,IMO,GOVERNORSHIP,IMO
30,BEN DIRIBE EBERECHUKWU,MALE,GDPN,112,,,IMO,GOVERNORSHIP,IMO
31,ONONOGBO EMEKA EMMANUEL,MALE,GPN,66,,,IMO,GOVERNORSHIP,IMO
32,IKE IBE C,MALE,ID,144,,,IMO,GOVERNORSHIP,IMO
33,CANICE CHUKWUEMEKA ASONYE,MALE,JMPP,30,,,IMO,GOVERNORSHIP,IMO
34,OKECHUKWU KINGSLEY OKOROAFOR,MALE,KP,45,,,IMO,GOVERNORSHIP,IMO
35,UKAEGBU JOSEPH IKECHUKWU,MALE,LP,"1,658",,,IMO,GOVERNORSHIP,IMO
36,OSUJI ALOYSIUS OSONDU,MALE,MAJA,570,,,IMO,GOVERNORSHIP,IMO
37,CHIGOZIE JERRY IHEANACHO,MALE,MMN,132,,,IMO,GOVERNORSHIP,IMO
38,ADRIAN CHIJIOKE ACHODO,MALE,MPN,59,,,IMO,GOVERNORSHIP,IMO
39,IKECHUKWU NWAOPARA,MALE,MRDD,24,,,IMO,GOVERNORSHIP,IMO
40,NWOKORIE DONALD C.,MALE,NAC,108,,,IMO,GOVERNORSHIP,IMO
1,ZAINAB MUHAMMAD ADAM,FEMALE,A,71,,,JIGAWA,GOVERNORSHIP,JIGAWA
2,ABASHE AHMED,MALE,ADC,147,,,JIGAWA,GOVERNORSHIP,JIGAWA
3,ISYAKU SABO,MALE,AGA,"1,019",,,JIGAWA,GOVERNORSHIP,JIGAWA
4,ABBAS S. MUJADDADI,MALE,ANN,848,,,JIGAWA,GOVERNORSHIP,JIGAWA
,,,,,Declared,,JIGAWA,GOVERNORSHIP,JIGAWA
5,MOHAMMED BADARU ABUBAKAR,MALE,APC,"810,933",,,JIGAWA,GOVERNORSHIP,JIGAWA
,,,,,Elected,,JIGAWA,GOVERNORSHIP,JIGAWA
6,MUSTAPHA MUHAMMED,MALE,DA,531,,,JIGAWA,GOVERNORSHIP,JIGAWA
7,MAMMAN ISAH KANI,MALE,DPC,176,,,JIGAWA,GOVERNORSHIP,JIGAWA
8,SALE MURTALA,MALE,JMPP,128,,,JIGAWA,GOVERNORSHIP,JIGAWA
9,DANLAMI HARUNA HADEJIA,MALE,KP,68,,,JIGAWA,GOVERNORSHIP,JIGAWA
10,RUDMAN ABDALLAH,MALE,MPN,147,,,JIGAWA,GOVERNORSHIP,JIGAWA
11,MURTALA MUSA,MALE,NCP,98,,,JIGAWA,GOVERNORSHIP,JIGAWA
12,HASSAN AMINU IBRAHIM,MALE,NRM,392,,,JIGAWA,GOVERNORSHIP,JIGAWA
13,AMINU IBRAHIM RINGIM,MALE,PDP,"288,356",,,JIGAWA,GOVERNORSHIP,JIGAWA
14,BABANGIDA GAMBO,MALE,PPC,"2,096",,,JIGAWA,GOVERNORSHIP,JIGAWA
15,IBRAHIM HARUNA,MALE,PPN,583,,,JIGAWA,GOVERNORSHIP,JIGAWA
16,AHMED ADAMU KAUGAMA,MALE,PRP,333,,,JIGAWA,GOVERNORSHIP,JIGAWA
17,BASHIR ADAMU,MALE,SDP,"32,894",,,JIGAWA,GOVERNORSHIP,JIGAWA
18,HASSAN AMINU UMAR,MALE,UPN,62,,,JIGAWA,GOVERNORSHIP,JIGAWA
19,ABDULLAHI SULEIMAN,MALE,YPP,172,,,JIGAWA,GOVERNORSHIP,JIGAWA
1,JAMILU MOHAMMAD,MALE,A,97,,,KADUNA,GOVERNORSHIP,KADUNA
2,ILIYASU AMINU MUSTAPHA,MALE,AA,32,,,KADUNA,GOVERNORSHIP,KADUNA
3,IBRAHIM SULEIMAN,MALE,ADC,"1,011",,,KADUNA,GOVERNORSHIP,KADUNA
4,METOH H. YAKUBU,MALE,AGA,324,,,KADUNA,GOVERNORSHIP,KADUNA
5,AMINU SABO,MALE,ANN,133,,,KADUNA,GOVERNORSHIP,KADUNA
6,OTHMAN MUSTAPHA BAKANO,MALE,APA,"1,987",,,KADUNA,GOVERNORSHIP,KADUNA
,,,,,Declared,,KADUNA,GOVERNORSHIP,KADUNA
7,NASIR AHMAD EL-RUFAI,MALE,APC,"1,045,427",,,KADUNA,GOVERNORSHIP,KADUNA
,,,,,Elected,,KADUNA,GOVERNORSHIP,KADUNA
8,DR POLYCAP DANLADI GANKON,MALE,APGA,"2,405",,,KADUNA,GOVERNORSHIP,KADUNA
9,SALIM MUHAMMAD,MALE,APP,162,,,KADUNA,GOVERNORSHIP,KADUNA
10,ABUBAKAR ALIYU,MALE,CAP,663,,,KADUNA,GOVERNORSHIP,KADUNA
11,UMAR SULEIMAN ABUBAKAR,MALE,DA,74,,,KADUNA,GOVERNORSHIP,KADUNA
12,ADAMU IDRIS CHADO,MALE,DPC,157,,,KADUNA,GOVERNORSHIP,KADUNA
13,AHMAD MUHAMMAD,MALE,GPN,238,,,KADUNA,GOVERNORSHIP,KADUNA
14,AHMAD RABIU BELLO,MALE,HDP,66,,,KADUNA,GOVERNORSHIP,KADUNA
15,MUHAMMED JIBRIN MUNTAKA,MALE,ID,58,,,KADUNA,GOVERNORSHIP,KADUNA
16,MUHAMMED UMAR,MALE,JMPP,14,,,KADUNA,GOVERNORSHIP,KADUNA
17,EZEKIEL HABILA,MALE,LM,36,,,KADUNA,GOVERNORSHIP,KADUNA
18,UMAR IBRAHIM FAROUK,MALE,LP,125,,,KADUNA,GOVERNORSHIP,KADUNA
19,SULEIMAN ABDULRASHEED,MALE,MMN,68,,,KADUNA,GOVERNORSHIP,KADUNA
20,MUHAMMAD KABIR UTHMAN,MALE,MPN,"1,533",,,KADUNA,GOVERNORSHIP,KADUNA
21,HALLIRU TAFIDA ABDULLAHI,MALE,MRDD,52,,,KADUNA,GOVERNORSHIP,KADUNA
22,SHIKA RABIATU SULAIMAN,FEMALE,NAC,88,,,KADUNA,GOVERNORSHIP,KADUNA
23,EMMANUEL PARAH BAKO,MALE,NCP,162,,,KADUNA,GOVERNORSHIP,KADUNA
24,MANSUR SULEIMAN,MALE,NEPP,121,,,KADUNA,GOVERNORSHIP,KADUNA
25,UMAR UBA,MALE,NIP,102,,,KADUNA,GOVERNORSHIP,KADUNA
26,SANI ABDULKADIR,MALE,NNPP,"2,025",,,KADUNA,GOVERNORSHIP,KADUNA
27,SOLOMON YAHAYA IKAGWU,MALE,NPC,449,,,KADUNA,GOVERNORSHIP,KADUNA
28,MUHAMMED ALIYU GALADIMA,MALE,NRM,"1,151",,,KADUNA,GOVERNORSHIP,KADUNA
29,ISA MOHAMMAD ASHIRU,MALE,PDP,"814,168",,,KADUNA,GOVERNORSHIP,KADUNA
30,KABIR AHMED JIBRIL,MALE,PPA,594,,,KADUNA,GOVERNORSHIP,KADUNA
31,SHEHU ABUBAKAR,MALE,PPN,147,,,KADUNA,GOVERNORSHIP,KADUNA
32,AHMAD TIJJANI OMAR,MALE,PRP,"5,626",,,KADUNA,GOVERNORSHIP,KADUNA
33,MUHAMMAD FATIMA BINTA,FEMALE,RP,86,,,KADUNA,GOVERNORSHIP,KADUNA
34,HARUNA YUNUSA SA'EED,MALE,SDP,"9,828",,,KADUNA,GOVERNORSHIP,KADUNA
35,ABDULLAHI AWWAL ALIYU,MALE,UDP,316,,,KADUNA,GOVERNORSHIP,KADUNA
36,YAHAYA ALHASSAN MARAFA,MALE,UPN,99,,,KADUNA,GOVERNORSHIP,KADUNA
37,YUSUF ABDULFATAI,MALE,WTPN,23,,,KADUNA,GOVERNORSHIP,KADUNA
38,ABUBAKAR ABDULLAHI,MALE,ZLP,67,,,KADUNA,GOVERNORSHIP,KADUNA
1,JAMILU ABBAS,MALE,A,136,,,KANO,GOVERNORSHIP,KANO
2,IDRIS ALIYU ZAKIRAI,MALE,AA,398,,,KANO,GOVERNORSHIP,KANO
3,BALARABE BELLO,MALE,ABP,57,,,KANO,GOVERNORSHIP,KANO
4,BELLO AHMED ALHAJI,MALE,ACD,168,,,KANO,GOVERNORSHIP,KANO
5,HAJIYA HALIMA A. AHMAD,FEMALE,AD,617,,,KANO,GOVERNORSHIP,KANO
6,MOHAMMED MUBARAK SALIUSU,MALE,ADC,394,,,KANO,GOVERNORSHIP,KANO
7,AHMED TIJANI AUWALU,MALE,AGA,289,,,KANO,GOVERNORSHIP,KANO
8,UMAR TIJJANI TSAKUWA,MALE,AGAP,102,,,KANO,GOVERNORSHIP,KANO
9,DAHIRU IDRIS TAMBURAWA,MALE,ANDP,202,,,KANO,GOVERNORSHIP,KANO
10,YUSUF JIBRIN OYOYO,MALE,ANP,266,,,KANO,GOVERNORSHIP,KANO
11,MUHAMMAD IBRAHIM,MALE,APA,"1,995",,,KANO,GOVERNORSHIP,KANO
,,,,,Declared,,KANO,GOVERNORSHIP,KANO
12,GANDUJE ABDULLAHI UMAR,MALE,APC,"1,033,695",,,KANO,GOVERNORSHIP,KANO
,,,,,Elected,,KANO,GOVERNORSHIP,KANO
13,ABACHA MOHAMMAD SANI,MALE,APDA,"3,025",,,KANO,GOVERNORSHIP,KANO
14,FAROUK BASHIR BABA,MALE,APM,166,,,KANO,GOVERNORSHIP,KANO
15,HARUNA DANYARO GAYA,MALE,APP,105,,,KANO,GOVERNORSHIP,KANO
16,ILIYASU ABDU,MALE,BNPP,62,,,KANO,GOVERNORSHIP,KANO
17,UMMA IBRAHIM ADHAMA,MALE,CAP,47,,,KANO,GOVERNORSHIP,KANO
18,HAMZA ADAMU NUHU,MALE,DA,49,,,KANO,GOVERNORSHIP,KANO
19,ABDULLAHI RAKAYYA M,FEMALE,DPC,69,,,KANO,GOVERNORSHIP,KANO
20,YAHAYA MUHD KYABO,MALE,FJP,86,,,KANO,GOVERNORSHIP,KANO
21,FURERA AHMAD YAKUBU,MALE,FRESH,34,,,KANO,GOVERNORSHIP,KANO
22,ALMAD HALLIRU SAWABA,MALE,GDPN,288,,,KANO,GOVERNORSHIP,KANO
23,ABDULSALAM SALEH ABDULKARIM,MALE,GPN,972,,,KANO,GOVERNORSHIP,KANO
24,USMAN G. NASIRU,MALE,HDP,"5,662",,,KANO,GOVERNORSHIP,KANO
25,MUHAMMAD AHMAD,MALE,ID,292,,,KANO,GOVERNORSHIP,KANO
26,GALI AUWALU SULE,MALE,JMPP,127,,,KANO,GOVERNORSHIP,KANO
27,HAMISU ABDULSALAM MAGAJI,MALE,KP,105,,,KANO,GOVERNORSHIP,KANO
28,MUHAMMED ABDULLAHI RAJI,MALE,LP,721,,,KANO,GOVERNORSHIP,KANO
29,MUHAMMED NASIR MUHTAR,MALE,LPN,325,,,KANO,GOVERNORSHIP,KANO
30,MUNNIR ZANGO,MALE,MMN,118,,,KANO,GOVERNORSHIP,KANO
31,LAWAN MUSA ABDULLAHI,MALE,MPN,665,,,KANO,GOVERNORSHIP,KANO
32,YUSUF AMINA GARBA,MALE,NAC,167,,,KANO,GOVERNORSHIP,KANO
33,ABDULLAHI JAMILU SALEH,MALE,NCP,87,,,KANO,GOVERNORSHIP,KANO
34,CHEDI YASIR AHMED,MALE,NDLP,117,,,KANO,GOVERNORSHIP,KANO
35,MUSA MARYAM,FEMALE,NEPP,84,,,KANO,GOVERNORSHIP,KANO
36,INUSA ZAKARI GAYA,MALE,NFD,47,,,KANO,GOVERNORSHIP,KANO
37,MUSTAPHA BALA GETSO,MALE,NPM,507,,,KANO,GOVERNORSHIP,KANO
38,MUHAMMED NURA SHEHU,MALE,NRM,63,,,KANO,GOVERNORSHIP,KANO
39,SAFIYYN SALISU ABDUL,FEMALE,NUP,166,,,KANO,GOVERNORSHIP,KANO
1,LABO SULEIMAN SHEHU,MALE,A,"2,287",,,KATSINA,GOVERNORSHIP,KATSINA
2,ABDULLAHI NUHU,MALE,ADC,"1,921",,,KATSINA,GOVERNORSHIP,KATSINA
,,,,,Declared,,KATSINA,GOVERNORSHIP,KATSINA
3,AMINU BELLO MASARI,MALE,APC,"1,178,864",,,KATSINA,GOVERNORSHIP,KATSINA
,,,,,Elected,,KATSINA,GOVERNORSHIP,KATSINA
4,NURADEEN UMAR,MALE,DA,880,,,KATSINA,GOVERNORSHIP,KATSINA
5,UMAR AHMED JIBRIL,MALE,GPN,209,,,KATSINA,GOVERNORSHIP,KATSINA
6,LAWAL ABUBAKAR BAGIWA,MALE,JMPP,99,,,KATSINA,GOVERNORSHIP,KATSINA
7,ABU-MUSAWA IBRAHIM,MALE,LP,129,,,KATSINA,GOVERNORSHIP,KATSINA
8,HABIBU LAWAL,MALE,MAJA,112,,,KATSINA,GOVERNORSHIP,KATSINA
9,NAZIRU ABDULLAHI,MALE,MMN,277,,,KATSINA,GOVERNORSHIP,KATSINA
10,MANNIR MOHAMMED SALISU,MALE,MPN,167,,,KATSINA,GOVERNORSHIP,KATSINA
11,ABDULMUMINI SHEHU SANI,MALE,NCP,434,,,KATSINA,GOVERNORSHIP,KATSINA
12,ABUBAKAR HALILU JIKAMSHI,MALE,NRM,"1,333",,,KATSINA,GOVERNORSHIP,KATSINA
13,GARBA YAKUBU LADO,MALE,PDP,"488,621",,,KATSINA,GOVERNORSHIP,KATSINA
14,SANI SANI B.K,MALE,PPN,684,,,KATSINA,GOVERNORSHIP,KATSINA
15,BASHIR IDRIS NADABO,MALE,PRP,"6,141",,,KATSINA,GOVERNORSHIP,KATSINA
16,DAHIRU MU'AZU R/DADI,MALE,SDP,499,,,KATSINA,GOVERNORSHIP,KATSINA
17,NASIRU YAU'YAMEL,MALE,UPC,207,,,KATSINA,GOVERNORSHIP,KATSINA
18,NUHU ABDULLAHI,MALE,YES,181,,,KATSINA,GOVERNORSHIP,KATSINA
1,ABDULLAHI MOHD SANI,MALE,A,71,,,KEBBI,GOVERNORSHIP,KEBBI
2,ZAKI BILYAMINU D.,MALE,AA,54,,,KEBBI,GOVERNORSHIP,KEBBI
3,ABUBAKAR ALKALI KASIMU,MALE,ACD,142,,,KEBBI,GOVERNORSHIP,KEBBI
4,ISA UMAR,MALE,ACPN,105,,,KEBBI,GOVERNORSHIP,KEBBI
5,KAMILU MUSA,MALE,AD,95,,,KEBBI,GOVERNORSHIP,KEBBI
6,YAKUBU MAGASI ALLU,MALE,ADC,251,,,KEBBI,GOVERNORSHIP,KEBBI
7,MUSTAPHA HASSAN YAURI,MALE,ANRP,174,,,KEBBI,GOVERNORSHIP,KEBBI
8,SHARIA MAIDAWA,MALE,APA,"1,135",,,KEBBI,GOVERNORSHIP,KEBBI
,,,,,Declared,,KEBBI,GOVERNORSHIP,KEBBI
9,ABUBAKAR ATIKU BAGUDU,MALE,APC,"673,717",,,KEBBI,GOVERNORSHIP,KEBBI
,,,,,Elected,,KEBBI,GOVERNORSHIP,KEBBI
10,SAIDU AHMED,MALE,APGA,857,,,KEBBI,GOVERNORSHIP,KEBBI
11,IBRAHIM MUHAMMED G,MALE,CAP,90,,,KEBBI,GOVERNORSHIP,KEBBI
12,YAHAYA UMAR KARDI,MALE,DA,138,,,KEBBI,GOVERNORSHIP,KEBBI
13,ADAMU ABUBAKAR,MALE,DPC,123,,,KEBBI,GOVERNORSHIP,KEBBI
14,MUHAMMED ASIYA KANYA,FEMALE,DPP,198,,,KEBBI,GOVERNORSHIP,KEBBI
15,ABDULLAHI SHUABU SABONKUDI,MALE,FRESH,59,,,KEBBI,GOVERNORSHIP,KEBBI
16,ABUBAKAR MOHD KOLA,MALE,GPN,41,,,KEBBI,GOVERNORSHIP,KEBBI
17,GARBA KABIRU,MALE,HDP,57,,,KEBBI,GOVERNORSHIP,KEBBI
18,ABUBAKAR USMAN,MALE,JMPP,64,,,KEBBI,GOVERNORSHIP,KEBBI
19,SAHABI UMAR BK,MALE,KP,99,,,KEBBI,GOVERNORSHIP,KEBBI
20,IBRAHIM ALKALI,MALE,MAJA,123,,,KEBBI,GOVERNORSHIP,KEBBI
21,BIYAMINU GARBA,MALE,MPN,150,,,KEBBI,GOVERNORSHIP,KEBBI
22,USMAN ALIYU KAOJE,MALE,NCP,160,,,KEBBI,GOVERNORSHIP,KEBBI
23,NASIRU UMAR GWANDU,MALE,NRM,306,,,KEBBI,GOVERNORSHIP,KEBBI
24,,,PDM,0,,,KEBBI,GOVERNORSHIP,KEBBI
25,ISA MOHAMMED GALAUDU,MALE,PDP,"106,633",,,KEBBI,GOVERNORSHIP,KEBBI
26,MUKTAR HARUNA,MALE,PPA,695,,,KEBBI,GOVERNORSHIP,KEBBI
27,HASSAN BANDI,MALE,PPN,222,,,KEBBI,GOVERNORSHIP,KEBBI
28,KABIRU UMAR,MALE,RP,85,,,KEBBI,GOVERNORSHIP,KEBBI
29,NASIRU MUHAMMAD KAOJE,MALE,SDP,"7,444",,,KEBBI,GOVERNORSHIP,KEBBI
30,ABDULRASHEED DAUDA,MALE,SNP,83,,,KEBBI,GOVERNORSHIP,KEBBI
31,GARBA USMAN,MALE,YDP,20,,,KEBBI,GOVERNORSHIP,KEBBI
32,MUHAMMED SANI LANI,MALE,YPP,43,,,KEBBI,GOVERNORSHIP,KEBBI
1,AYORINDE O. ADEDOYIN,MALE,A,860,,,KWARA,GOVERNORSHIP,KWARA
2,ADISA ISMAIL ABAYOMI,MALE,AA,378,,,KWARA,GOVERNORSHIP,KWARA
3,AINA AYODEJI ADETUNJI,MALE,ABP,83,,,KWARA,GOVERNORSHIP,KWARA
4,TUNDE MURITALA O.,MALE,ACPN,272,,,KWARA,GOVERNORSHIP,KWARA
5,MANZUMA ISSA,MALE,ADC,391,,,KWARA,GOVERNORSHIP,KWARA
6,ONIYE SHINA HAMMED,MALE,ADP,179,,,KWARA,GOVERNORSHIP,KWARA
7,MOHAMMAD LIMAN ABDULLAHI,MALE,ANP,134,,,KWARA,GOVERNORSHIP,KWARA
8,ABDULMUMIN YINKA AJIA,MALE,ANRP,115,,,KWARA,GOVERNORSHIP,KWARA
9,SHARAFADEEN A. KOLAWOLE ADEREMMY,MALE,APA,"1,163",,,KWARA,GOVERNORSHIP,KWARA
,,,,,Declared,,KWARA,GOVERNORSHIP,KWARA
10,ABDULRAHAM ABBULRAZAQ,MALE,APC,"331,546",,,KWARA,GOVERNORSHIP,KWARA
,,,,,Elected,,KWARA,GOVERNORSHIP,KWARA
11,MOHAMMED ABUBAKAR MOHAMMED,MALE,APN,293,,,KWARA,GOVERNORSHIP,KWARA
12,BABATUNDE OMOTOSHO TAYO,MALE,BNPP,34,,,KWARA,GOVERNORSHIP,KWARA
13,ADEKUNLE KEHINDE,MALE,CAP,40,,,KWARA,GOVERNORSHIP,KWARA
14,ABDULLAHI MOHAMMED,MALE,DA,28,,,KWARA,GOVERNORSHIP,KWARA
15,OMOTOSHO BAMIDELE OLAITAN,MALE,GPN,21,,,KWARA,GOVERNORSHIP,KWARA
16,BELGORE AHMAD KAWU,MALE,JMPP,105,,,KWARA,GOVERNORSHIP,KWARA
17,ALABI MORANKINYO,MALE,KP,48,,,KWARA,GOVERNORSHIP,KWARA
18,ISSA AREMU OBALOWU,MALE,LP,45,,,KWARA,GOVERNORSHIP,KWARA
19,YAHAYA KALE SAÁDU,MALE,MAJA,57,,,KWARA,GOVERNORSHIP,KWARA
20,RUKAYAT TOYIN TIJANI,FEMALE,MPN,53,,,KWARA,GOVERNORSHIP,KWARA
