S/N,NAME,GENDER,PARTY,VOTES,ELECTED,SENATORIAL DISTRICT,STATE
16,JACK OKUBOEBI CHARLES,MALE,YDP,12,,BAYELSA-WEST,BAYELSA
1,MALU TORNGEE JOSEPH,MALE,AA,"1,599",,BENUE-NORTHEAST,BENUE
2,MATHEW AMBE NGUTOR,MALE,ACD,56,,BENUE-NORTHEAST,BENUE
3,CHIEF COL. BENJAMIN ABOHO,MALE,ADC,"1,884",,BENUE-NORTHEAST,BENUE
4,TARBO ERNEST TERUNGWA,MALE,ANN,397,,BENUE-NORTHEAST,BENUE
5,ADZAPE - ORUBIBI MIMI,FEMALE,APC,"81,603",,BENUE-NORTHEAST,BENUE
6,AKAAGERGER JOSEPH IORSHAGHER,MALE,APGA,"8,099",,BENUE-NORTHEAST,BENUE
7,RAPHAEL IKYAABO ORBEN,MALE,APM,62,,BENUE-NORTHEAST,BENUE
8,ATSEHEKAA FREDERICK TYEKU JUSTIN,MALE,CNP,54,,BENUE-NORTHEAST,BENUE
9,AWASE TERZM NGWE CEDDIC,MALE,DA,65,,BENUE-NORTHEAST,BENUE
10,BUTU LOVELINE ONGO,FEMALE,GDPN,61,,BENUE-NORTHEAST,BENUE
11,KUREVER TERNA DANIEL,MALE,JMPP,61,,BENUE-NORTHEAST,BENUE
12,ADZONGO ESTHER TERSOO,FEMALE,LP,300,,BENUE-NORTHEAST,BENUE
13,ALAKALI JOSEPH SHIAN,MALE,NCP,"1,331",,BENUE-NORTHEAST,BENUE
14,GABRIEL TORWUA SUSWAM,MALE,PDP,"148,615",ELECTED,BENUE-NORTHEAST,BENUE
15,ZAVER FRANCIS,MALE,PPN,681,,BENUE-NORTHEAST,BENUE
16,VANDEFAN TERSUGH JAMES,MALE,PRP,"4,874",,BENUE-NORTHEAST,BENUE
17,AMASE BENJAMIN,MALE,PT,139,,BENUE-NORTHEAST,BENUE
18,GEMADE BARNABAS ANDYAR,MALE,SDP,"32,534",,BENUE-NORTHEAST,BENUE
19,CHIA IORNENGEN,MALE,YPP,254,,BENUE-NORTHEAST,BENUE
20,KENNEDY TERSOO UBWA,MALE,ZLP,79,,BENUE-NORTHEAST,BENUE
1,SOLOMON IORUNDU ANUNDU,M,ACD,77,,BENUE-NORTHWEST,BENUE
2,SWENDE LEEMGA,M,ADC,774,,BENUE-NORTHWEST,BENUE
3,AKUME GEORGE,M,APC,"115,422",,BENUE-NORTHWEST,BENUE
4,AYONGO EMMANUEL T,M,DA,156,,BENUE-NORTHWEST,BENUE
5,FAVOUR SHUAIBU,F,JMPP,51,,BENUE-NORTHWEST,BENUE
6,NOR-UGOR VICTORIA KUWUA,F,LP,933,,BENUE-NORTHWEST,BENUE
7,AGBER YOHANE ORKUR,M,NCP,"1,352",,BENUE-NORTHWEST,BENUE
8,EMMANUEL YISA ORKER-JEV,M,PDP,"157,726",ELECTED,BENUE-NORTHWEST,BENUE
9,OGWIJI EMMANUEL IGOCHE,M,PPN,227,,BENUE-NORTHWEST,BENUE
10,ATIM LUTER,M,PT,39,,BENUE-NORTHWEST,BENUE
11,EZE EJIKE CALISTUS,M,SDP,"2,240",,BENUE-NORTHWEST,BENUE
1,OGBOLE BILLY OKOLO,MALE,ACD,234,,BENUE-SOTH,BENUE
2,ANGULU OCHOJEMA JULIET,FEMALE,ADC,836,,BENUE-SOTH,BENUE
3,ADOKO LIGHT IMMANUEL,MALE,ADP,"1,455",,BENUE-SOTH,BENUE
4,LAWANI STEPHEN,MALE,APC,"47,972",,BENUE-SOTH,BENUE
5,ABUBAKAR USMAN,MALE,APDA,"5,504",,BENUE-SOTH,BENUE
6,ULOKO STEPHEN UGWU,MALE,CAP,297,,BENUE-SOTH,BENUE
7,MAGAJI ADAMS ADAMU,MALE,DA,109,,BENUE-SOTH,BENUE
8,OCHOHO PAUL .A,MALE,JMPP,114,,BENUE-SOTH,BENUE
9,INYAMPE DENNIS DOUGLAS,MALE,LP,"2,574",,BENUE-SOTH,BENUE
10,EMMANUEL OKEGBO,MALE,NCP,57,,BENUE-SOTH,BENUE
11,OLA ODEH PAUL,MALE,NRM,167,,BENUE-SOTH,BENUE
12,PATRICK ABBA MORO,MALE,PDP,"85,162",ELECTED,BENUE-SOTH,BENUE
13,UJAH OYIWONA RICHARD,MALE,PPC,625,,BENUE-SOTH,BENUE
14,OKEWU MARY,FEMALE,PPN,137,,BENUE-SOTH,BENUE
15,ALACHE ODE,FEMALE,PT,85,,BENUE-SOTH,BENUE
16,ONOJA MIKE OKIBE,MALE,SDP,"29,901",,BENUE-SOTH,BENUE
1,SOLOMON OBASESAM E. E,FEMALE,A,25,,CROSS-RIVER-CENTRAL,CROSS
2,EDIDEN OVAT ABENG,MALE,AD,74,,CROSS-RIVER-CENTRAL,CROSS
3,PATRICK ETTA,MALE,ADC,494,,CROSS-RIVER-CENTRAL,CROSS
4,,MALE,APC,"60,298",,CROSS-RIVER-CENTRAL,CROSS
5,NANDI-ESOM JOE,MALE,ASD,40,,CROSS-RIVER-CENTRAL,CROSS
6,AGUBA WILLIE AKPAMA,MALE,C4C,9,,CROSS-RIVER-CENTRAL,CROSS
7,OKOI OBETEN IBIAN,MALE,DA,39,,CROSS-RIVER-CENTRAL,CROSS
8,SAMUEL ETOWA IKONA,MALE,DPP,100,,CROSS-RIVER-CENTRAL,CROSS
9,EBRI WILLIAM ONEN,MALE,ID,13,,CROSS-RIVER-CENTRAL,CROSS
10,OMARI FREDERICK EJE,MALE,JMPP,17,,CROSS-RIVER-CENTRAL,CROSS
11,IGBOKE ROLAND BASSEY,MALE,MPN,102,,CROSS-RIVER-CENTRAL,CROSS
12,ONOR SANDY OJANG,MALE,PDP,"80,134",ELECTED,CROSS-RIVER-CENTRAL,CROSS
13,IDEBA ENO BASSEY,MALE,PPN,48,,CROSS-RIVER-CENTRAL,CROSS
14,TAKIM MACDUFF OJONG,MALE,SNP,71,,CROSS-RIVER-CENTRAL,CROSS
15,ATTAH ANTHONG BISSONG,MALE,YPP,36,,CROSS-RIVER-CENTRAL,CROSS
1,ORI ODU AKPANG ADE,M,ADC,270,,CROSS-RIVER-NORTH,CROSS
2,,M,APC,"36,129",,CROSS-RIVER-NORTH,CROSS
3,IGBOH JULIUS,M,ASD,93,,CROSS-RIVER-NORTH,CROSS
4,NDOMA PETER VOLIE,M,DA,36,,CROSS-RIVER-NORTH,CROSS
5,AGASHU CLETUS EGA,M,DPP,170,,CROSS-RIVER-NORTH,CROSS
6,OCHINKEN MERCY AKWAJI,F,ID,33,,CROSS-RIVER-NORTH,CROSS
7,AMOGOR PETER,M,JMPP,215,,CROSS-RIVER-NORTH,CROSS
8,OKO ROSE OKOJI,F,PDP,"100,967",ELECTED,CROSS-RIVER-NORTH,CROSS
9,OKII JAMES ODEY,M,PPN,174,,CROSS-RIVER-NORTH,CROSS
10,ESOR SOLOMON IDOR,M,SDP,143,,CROSS-RIVER-NORTH,CROSS
11,MPIELE JONAS AGBOR,M,YDP,14,,CROSS-RIVER-NORTH,CROSS
12,ANNDOTAN JOSEF AKOMAYE,M,YPP,61,,CROSS-RIVER-NORTH,CROSS
1,EKPENYONG KINGSLEY ITA,M,AA,70,,CROSS-RIVER-SOUTH,CROSS
2,AMBO EKPEYONG,M,ADC,420,,CROSS-RIVER-SOUTH,CROSS
3,,M,APC,"63,250",,CROSS-RIVER-SOUTH,CROSS
4,EKPO BASSEY OKON,M,ASD,108,,CROSS-RIVER-SOUTH,CROSS
5,EDEM IGNATIUS OFFIONG,M,DA,76,,CROSS-RIVER-SOUTH,CROSS
6,ICHE CLEMENT EKUM GBE,M,ID,54,,CROSS-RIVER-SOUTH,CROSS
7,FRANCIS BASSEY EDET,M,JMPP,350,,CROSS-RIVER-SOUTH,CROSS
8,BASSEY GERSHOM HENRY,M,PDP,"77,478",ELECTED,CROSS-RIVER-SOUTH,CROSS
9,EDET OKON EFFIOM,M,PPN,94,,CROSS-RIVER-SOUTH,CROSS
10,NTUKPEK LESLEY EKPE,M,YDP,75,,CROSS-RIVER-SOUTH,CROSS
11,EKENG ANDEM EKPENYONG,M,YPP,159,,CROSS-RIVER-SOUTH,CROSS
1,LIEGELORN KESTON M. ALAMIN,MALE,ADC,416,,DELTA-CENTRAL,DELTA
2,OMO-AGEGE OVIE AUGUSTINE,MALE,APC,"111,100",ELECTED,DELTA-CENTRAL,DELTA
3,AKPFURF EVWERERAYE FELIX,MALE,APM,86,,DELTA-CENTRAL,DELTA
4,OGBOKO KELVIN IGHOSOTU,MALE,C4C,34,,DELTA-CENTRAL,DELTA
5,NWELE NNANNA CHUKWUDI,MALE,DA,48,,DELTA-CENTRAL,DELTA
6,ESIEKPE EVINCE OGHENERO,MALE,DPP,436,,DELTA-CENTRAL,DELTA
7,OGHENECHOVWEN UGEN,MALE,GDPN,49,,DELTA-CENTRAL,DELTA
8,OKPERIE EGUONO,MALE,HDP,38,,DELTA-CENTRAL,DELTA
9,ONORI BENSON AUGUSTINE,MALE,KP,33,,DELTA-CENTRAL,DELTA
10,OLUWADARE ONOME HEPHZIBAH,FEMALE,LP,"2,003",,DELTA-CENTRAL,DELTA
11,ADJUYA STELLA,FEMALE,MPN,40,,DELTA-CENTRAL,DELTA
12,DAFE OGUNJE,MALE,NCP,141,,DELTA-CENTRAL,DELTA
13,ONEYIBO HANDSOME - HERO,MALE,PDC,236,,DELTA-CENTRAL,DELTA
14,OBORO EVELYN OMAVOWAN OJAKOVO,FEMALE,PDP,"99,422",,DELTA-CENTRAL,DELTA
15,OGBAODU PAUL,MALE,PPN,93,,DELTA-CENTRAL,DELTA
16,UGHWANOGHO OVIE,MALE,SDP,"2,204",,DELTA-CENTRAL,DELTA
17,EGUVWESE MAGIC FREDERICK,MALE,UPC,19,,DELTA-CENTRAL,DELTA
18,OBENEBE O MACPHERSON,MALE,ZLP,20,,DELTA-CENTRAL,DELTA
1,ADIGWE CHUKWUMA,MALE,A,72,,DELTA-NORTH,DELTA
2,SMART MADU AJAJA,MALE,AAC,441,,DELTA-NORTH,DELTA
3,DIKE HENRY EMEKA,MALE,ACD,108,,DELTA-NORTH,DELTA
4,COLLINS ISAMADE I,MALE,ACPN,50,,DELTA-NORTH,DELTA
5,OTUYA IFEANYI AUSTIN,MALE,ADC,719,,DELTA-NORTH,DELTA
6,OGBE OKAFOR,MALE,ANP,132,,DELTA-NORTH,DELTA
7,UBOH DORIS,FEMALE,APC,"36,350",,DELTA-NORTH,DELTA
8,NWAGBOGUN SUNDAY NWALOKOR,MALE,APGA,482,,DELTA-NORTH,DELTA
9,IGUBOR ONYIMELODIA,FEMALE,ASD,22,,DELTA-NORTH,DELTA
10,KONWEA THERESA,FEMALE,DA,36,,DELTA-NORTH,DELTA
11,ODIRI OYIBOGARE,MALE,DPP,345,,DELTA-NORTH,DELTA
12,LAWRENCE ENYI,MALE,FJP,14,,DELTA-NORTH,DELTA
13,OKAFOR OFUNNE PHILOMINA,FEMALE,HDP,11,,DELTA-NORTH,DELTA
14,EZEAGWU ONYEKACHUKWU CYPRIAN,MALE,ID,33,,DELTA-NORTH,DELTA
15,OKOCHA FELIX NWAEKE,MALE,JMPP,47,,DELTA-NORTH,DELTA
16,ALIU JANE REBECAH,FEMALE,KP,44,,DELTA-NORTH,DELTA
17,NDOZI EMMANUEL OGECHUKWU,MALE,LP,106,,DELTA-NORTH,DELTA
18,ENURAH ANTHONY,MALE,MPN,64,,DELTA-NORTH,DELTA
19,UGEGELI NDUDI STEPHANIE,FEMALE,NFD,60,,DELTA-NORTH,DELTA
20,NWAKA EMMANUEL OGOCHUKWU,MALE,PDC,833,,DELTA-NORTH,DELTA
21,NWAOBOSHI PETER ONYELUKA,MALE,PDP,"186,423",ELECTED,DELTA-NORTH,DELTA
22,OBI IJOMAH FREDERICK,MALE,PPA,162,,DELTA-NORTH,DELTA
23,KANWANYE VICTOR CHUKWUNONSO,MALE,PPN,34,,DELTA-NORTH,DELTA
24,EKPAH JOHN ONYEMAECHI,MALE,SDP,106,,DELTA-NORTH,DELTA
25,ILAMEBE LAWRENCE O,MALE,ZLP,22,,DELTA-NORTH,DELTA
1,MACDONALD EBINEPRE AMARAN,MALE,AAC,285,,DELTA-SOUTH,DELTA
2,WILKIE ELIJAH ONIYETSORITSE,MALE,ACPN,60,,DELTA-SOUTH,DELTA
3,OLIVIA TAGBAJUMI AGBAJOH,MALE,ADC,800,,DELTA-SOUTH,DELTA
4,OMATSEYE TEMISANKEN,MALE,ADP,642,,DELTA-SOUTH,DELTA
5,MEKE EMMANUEL,MALE,ANP,129,,DELTA-SOUTH,DELTA
6,UDUAGHAN EMMANUEL EWETA,MALE,APC,"125,752",,DELTA-SOUTH,DELTA
7,REX OGHORO,MALE,APDA,130,,DELTA-SOUTH,DELTA
8,OFFICE JEFFERSON ABEL TAMARALAYEFA,MALE,APM,16,,DELTA-SOUTH,DELTA
9,ONORIODE ODI HOSEA,MALE,ASD,37,,DELTA-SOUTH,DELTA
10,PEREKEKEME ANDREW EFE,MALE,C4C,16,,DELTA-SOUTH,DELTA
11,OGWOGU CELESTINE U ICHA,MALE,DA,6,,DELTA-SOUTH,DELTA
12,MOLOGE DOGUBO,MALE,DPP,141,,DELTA-SOUTH,DELTA
13,OVO MORRISTER,MALE,HDP,1,,DELTA-SOUTH,DELTA
14,JOSEPH ELO TESSY,FEMALE,ID,47,,DELTA-SOUTH,DELTA
15,KOVIE ANDREW EPETUKU,MALE,JMPP,24,,DELTA-SOUTH,DELTA
16,TANNO PATRICK ONOVUGHAKPO,MALE,KP,26,,DELTA-SOUTH,DELTA
17,OGEKI GODWIN,MALE,LP,74,,DELTA-SOUTH,DELTA
18,ANDERSON TARE-ERE,FEMALE,MPN,20,,DELTA-SOUTH,DELTA
19,OSEH AZUBUIKE DENNIS,MALE,NFD,210,,DELTA-SOUTH,DELTA
20,AKWIROFIE FRANK  OGHENEOTHUKO,MALE,NRM,26,,DELTA-SOUTH,DELTA
21,EKI DAVID GREG,MALE,PDC,234,,DELTA-SOUTH,DELTA
22,MANAGER JAMES EBIOWOU,MALE,PDP,"257,812",ELECTED,DELTA-SOUTH,DELTA
23,AKHOTU AKOKIZIOGHENE EASY,MALE,PPN,78,,DELTA-SOUTH,DELTA
24,BEGHO IRONE RITA,FEMALE,SDP,"3,175",,DELTA-SOUTH,DELTA
1,MARTINS OBASI IFEANYI,MALE,ADC,231,,EBONYI-CENTRAL,EBONYI
2,JULIUS ALI UCHA,MALE,APC,"46,676",,EBONYI-CENTRAL,EBONYI
3,ANYIGOR SIMON,MALE,DA,123,,EBONYI-CENTRAL,EBONYI
4,JAMES CHUKWU,MALE,ID,41,,EBONYI-CENTRAL,EBONYI
5,ELECHI CHARLES KELECHI,MALE,JMPP,33,,EBONYI-CENTRAL,EBONYI
6,NWANCHO LINUS NWANCHIO,MALE,LP,115,,EBONYI-CENTRAL,EBONYI
7,LEONARD NTE ONWE,MALE,LPN,587,,EBONYI-CENTRAL,EBONYI
8,NWAFOR AMOBI FRANKLIN,MALE,NFD,36,,EBONYI-CENTRAL,EBONYI
9,OGBA JOSEPH OBINNA,MALE,PDP,"62,452",ELECTED,EBONYI-CENTRAL,EBONYI
10,EZEALI STEPHEN NGWUTA,MALE,PPA,265,,EBONYI-CENTRAL,EBONYI
11,NWONU SUNDAY FAVOUR,MALE,PPN,83,,EBONYI-CENTRAL,EBONYI
12,NWOBASHI CYRIL CHIBUEZE,MALE,SDP,447,,EBONYI-CENTRAL,EBONYI
13,IKECHUKWU NWONU EPHRAIM,MALE,UPP,136,,EBONYI-CENTRAL,EBONYI
14,SUNDAY NWODE PHILEMON,MALE,ZLP,24,,EBONYI-CENTRAL,EBONYI
1,IMMARIHIAGBE EUCHARIA UKAMAKA,F,ACPN,74,,EBONYI-NORTH,EBONYI
2,OGBONNA NKWUDA JOHN,M,ADC,204,,EBONYI-NORTH,EBONYI
3,MATHIAS J. N. ADUM,M,APC,"38,374",,EBONYI-NORTH,EBONYI
4,IJE OKATA KENNETH,M,DA,139,,EBONYI-NORTH,EBONYI
5,NWALI UCHENNA MICHAEL,M,JMPP,80,,EBONYI-NORTH,EBONYI
6,NWIBO JOHNSON,M,LP,99,,EBONYI-NORTH,EBONYI
7,EGWU SAMUEL OMINYI,M,PDP,"80,711",ELECTED,EBONYI-NORTH,EBONYI
8,DANIEL U. NWIBO,M,PPN,171,,EBONYI-NORTH,EBONYI
9,ENIGWE ANSELM,M,SDP,805,,EBONYI-NORTH,EBONYI
10,EJE ROMANUSE,M,UPP,182,,EBONYI-NORTH,EBONYI
11,MGBADA PHILIP JOMBO,M,ZLP,30,,EBONYI-NORTH,EBONYI
1,WISDOM ENI EZE,MALE,ADC,258,,EBONYI-SOUTH,EBONYI
2,IGWE EZE IKECHUKWU,MALE,ANN,"5,805",,EBONYI-SOUTH,EBONYI
3,ONU NWAEZE PRINCE,MALE,APC,"19,663",,EBONYI-SOUTH,EBONYI
4,EKECHI SUNDAY,MALE,DA,"1,056",,EBONYI-SOUTH,EBONYI
5,JANEFRANCES ANI CHINYERE,FEMALE,JMPP,148,,EBONYI-SOUTH,EBONYI
6,OKOROAFOR DENNIS,MALE,LP,179,,EBONYI-SOUTH,EBONYI
7,MICHEAL AMA NNACHI,MALE,PDP,"103,751",ELECTED,EBONYI-SOUTH,EBONYI
8,NWANKWO JOY NGOZI,FEMALE,PPN,165,,EBONYI-SOUTH,EBONYI
9,NGWUOKE OGBONNAYA AGWU,MALE,SDP,613,,EBONYI-SOUTH,EBONYI
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,EDO-CENTRAL-1,EDO
1,STELLA ISIBHKOMEN AGOHA,MALE,ADC,220,,EDO-CENTRAL-1,EDO
2,EHIA-OLU AKAABUE,MALE,ADP,223,,EDO-CENTRAL-1,EDO
3,INEGBEDION JOHN OSAGIE,MALE,APC,"49,158",,EDO-CENTRAL-1,EDO
4,EFOSA JOHN,MALE,DA,52,,EDO-CENTRAL-1,EDO
5,EROMOSELE DANIEL IKOKO,MALE,FJP,28,,EDO-CENTRAL-1,EDO
6,ORIBHABOR ROY OREYE ONONODENA,MALE,GPN,4,,EDO-CENTRAL-1,EDO
7,IMHONTUNIYE JAMAINE AMEN,MALE,NCP,95,,EDO-CENTRAL-1,EDO
8,IKHILAE MARTINS,MALE,NDLP,75,,EDO-CENTRAL-1,EDO
9,ORDIA AKHIMIENMONA CLIFFORD,MALE,PDP,"56,048",ELECTED,EDO-CENTRAL-1,EDO
10,EKOH EBHODAGHE FRIDAY,MALE,PPC,37,,EDO-CENTRAL-1,EDO
11,IDUMOZA ISIDAHOMHEN,MALE,SDP,97,,EDO-CENTRAL-1,EDO
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,EDO-NORTH-1,EDO
1,JUDE IDENOBEMHE JUSTUS-IKPUNUEKHAI,MALE,AAC,0,,EDO-NORTH-1,EDO
2,MUSA FRIDAY,MALE,ADC,176,,EDO-NORTH-1,EDO
3,IKHIDE LUCKY ERASMUS,MALE,ADP,334,,EDO-NORTH-1,EDO
4,ALIMIKHENA FRANCIS ASEKHAME,MALE,APC,"117,783",Elected,EDO-NORTH-1,EDO
5,OHIMAI ANTHONY,MALE,DA,366,,EDO-NORTH-1,EDO
6,JOY OHIS INWALOME,FEMALE,JMPP,17,,EDO-NORTH-1,EDO
7,AHMED HARUNA,MALE,NCP,93,,EDO-NORTH-1,EDO
8,MOMOH ABUBAKAR ESHIOKPEKHA,MALE,PDP,"80,752",,EDO-NORTH-1,EDO
9,OKIAUGIE A. AMANESI,MALE,PPC,63,,EDO-NORTH-1,EDO
10,ORERUAH CORNELIUS DARE,MALE,SDP,85,,EDO-NORTH-1,EDO
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,EDO-SOUTH-1,EDO
1,LAWRENCE OSAGIE FRIDAY ONAGHINOR,MALE,AAC,"1,724",,EDO-SOUTH-1,EDO
2,UKPEMEKU CHARLES E.,MALE,ACD,400,,EDO-SOUTH-1,EDO
3,JENNIFER ERIAMIYE OBASUYI,FEMALE,ADC,"1,917",,EDO-SOUTH-1,EDO
4,ESE STEPHEN OWIE,MALE,ADP,"3,087",,EDO-SOUTH-1,EDO
5,OBAHIAGBON PATRICK,MALE,APC,"121,957",,EDO-SOUTH-1,EDO
6,AIGUOKHIAN A. NEHIKHARE RAPHAEL,MALE,CAP,211,,EDO-SOUTH-1,EDO
7,OSAZE GABRIEL,MALE,DA,122,,EDO-SOUTH-1,EDO
8,ILEVBA ANTHONIA IMMANUELA,FEMALE,JMPP,68,,EDO-SOUTH-1,EDO
9,OSADOLON THOMPSON ENOGHAYIN,MALE,KP,55,,EDO-SOUTH-1,EDO
10,OBOBAIFO PETER AIKORIEGIE,MALE,NCP,439,,EDO-SOUTH-1,EDO
11,URHGHIDE MATTHEW AISAGBONRIODION,MALE,PDP,"135,588",ELECTED,EDO-SOUTH-1,EDO
12,EGUAVOEN DESTINY,MALE,PPC,111,,EDO-SOUTH-1,EDO
1,BABATOLA AFOLAYAN AKUTUPU,MALE,ADC,561,,EKITI-CENTRAL,EKITI
2,BAMIDELE MICHEAL OPEYEMI,MALE,APC,"94,279",ELECTED,EKITI-CENTRAL,EKITI
3,OLUWAFEMI ABIODUN,MALE,DA,110,,EKITI-CENTRAL,EKITI
4,IREWOLE TOSIN,FEMALE,DPP,273,,EKITI-CENTRAL,EKITI
5,ADENIYI ADEKUNLE O.,MALE,LP,81,,EKITI-CENTRAL,EKITI
6,ASAOLU OLUWAFEMI AHMED,MALE,MPN,101,,EKITI-CENTRAL,EKITI
7,ADEWALE OBAFEMI,MALE,PDP,"48,707",,EKITI-CENTRAL,EKITI
8,FALADE ADEWALE PHILIP,MALE,PPN,93,,EKITI-CENTRAL,EKITI
9,FOLUSO FESTUS DAHOSI,MALE,PT,23,,EKITI-CENTRAL,EKITI
10,AKINOLA ADAMS EZEKIEL,MALE,YDP,25,,EKITI-CENTRAL,EKITI
1,BABALOLA FEMI,MALE,ADC,539,,EKITI-NORTH,EKITI
2,ADETUNMBI OLUBUNMI AYODEJI,MALE,APC,"60,689",ELECTED,EKITI-NORTH,EKITI
3,SUNDAY AFOLABI RAPAEL,MALE,DA,57,,EKITI-NORTH,EKITI
4,ADEMOLA BIMBO ADEYANJU,MALE,DPP,364,,EKITI-NORTH,EKITI
5,LAWRENCE ARISE OLUKAYODE,MALE,MPN,74,,EKITI-NORTH,EKITI
6,FASEYI DURO SAMUEL,MALE,PDP,"49,209",,EKITI-NORTH,EKITI
7,OLUWOLE BRANHAM TOYIN,MALE,PPN,41,,EKITI-NORTH,EKITI
8,ONI OLUWATOSIN OLUBOLAJI,MALE,YDP,39,,EKITI-NORTH,EKITI
1,FALADE AKINTAYO JOSEPH O.,MALE,ADC,318,,EKITI-SOUTH,EKITI
2,ADEYEYE CLEMENT ADEBAYO,MALE,APC,"77,621",ELECTED,EKITI-SOUTH,EKITI
3,AYODELE OLAIDE OLUGBENGA,MALE,ASD,66,,EKITI-SOUTH,EKITI
4,AGBOOLA TUNDE,MALE,DA,26,,EKITI-SOUTH,EKITI
5,AYODELE TOLULOPE GIDEON,MALE,LP,24,,EKITI-SOUTH,EKITI
6,AKINGBADE KOLAWOLE SAMSON,MALE,NAC,84,,EKITI-SOUTH,EKITI
7,KEHINDE TOPE ABAYOMI,MALE,NPC,144,,EKITI-SOUTH,EKITI
8,OLUJIMI BIODUN CHRISTINE,FEMALE,PDP,"53,741",,EKITI-SOUTH,EKITI
9,BOLA MARY ADEYINA,FEMALE,PPN,40,,EKITI-SOUTH,EKITI
1,OFOELUE THANKGOD ONUKWUBE,MALE,ADC,121,,ENUGU-EAST,ENUGU
2,OKO ANTHONY IFEATU,MALE,APA,161,,ENUGU-EAST,ENUGU
3,LAWRENCE OZOEMENE EZEH,MALE,APC,"14,225",,ENUGU-EAST,ENUGU
4,NWEGBO UCHENNA,MALE,APGA,"1,586",,ENUGU-EAST,ENUGU
5,GEOFFREY MEPHORS E.,MALE,C4C,59,,ENUGU-EAST,ENUGU
6,NNAMAN CHUKWUNONSO,MALE,DA,98,,ENUGU-EAST,ENUGU
7,IBIYEMI AKANJI ARIYO,MALE,GDPN,42,,ENUGU-EAST,ENUGU
8,KENECHUKWU KEVIN ANIKE,MALE,GPN,19,,ENUGU-EAST,ENUGU
9,NNAMCHI ANN NGOZI,FEMALE,ID,8,,ENUGU-EAST,ENUGU
10,OGBU ONYEKACHI HYGINUS,MALE,JMPP,6,,ENUGU-EAST,ENUGU
11,NNAJI ONYEKWERE JEHU,MALE,KP,53,,ENUGU-EAST,ENUGU
12,IFEYINWA OLIVE ONUORAH- NNOLI,FEMALE,MPN,31,,ENUGU-EAST,ENUGU
13,MGBE EMMANUEL EKENE,MALE,MRDD,190,,ENUGU-EAST,ENUGU
14,UBA CHINEDU DARLINGTON,MALE,NAC,66,,ENUGU-EAST,ENUGU
15,OKAFOR CECILIA UZOAMAKA,FEMALE,NIP,123,,ENUGU-EAST,ENUGU
16,NNAMANI CHIMAROKE OGBONNIA,MALE,PDP,"128,843",ELECTED,ENUGU-EAST,ENUGU
17,ONU JOSEPH STANLEY,MALE,PPC,113,,ENUGU-EAST,ENUGU
18,NNAMANI ADAOBI E.,FEMALE,PPN,25,,ENUGU-EAST,ENUGU
19,UKWU FELIX,MALE,SDP,41,,ENUGU-EAST,ENUGU
20,ONUORAH FRANCIS ECHEZONACHUKWU,MALE,UPP,205,,ENUGU-EAST,ENUGU
1,DENNIS OBETTA OBIORA,MALE,ADC,338,,ENUGU-NORTH,ENUGU
2,ODO EUGENE OGBONNA,MALE,APC,"22,229",,ENUGU-NORTH,ENUGU
3,EZE SIMON CHUKWUMA,MALE,C4C,72,,ENUGU-NORTH,ENUGU
4,NWODO FRANK EMAKA,MALE,DA,43,,ENUGU-NORTH,ENUGU
5,NNADI VICTORIA NWANNEKA,FEMALE,DPP,284,,ENUGU-NORTH,ENUGU
6,EMMANUEL OMENIHU,MALE,GDPN,101,,ENUGU-NORTH,ENUGU
7,UGWUOKE MATHEW CHUKWUEMEKA,MALE,GPN,38,,ENUGU-NORTH,ENUGU
8,ONYEBUCHI FRANKLIN,MALE,JMPP,63,,ENUGU-NORTH,ENUGU
9,DIUGWU MARIA UKAMAKA LEBEKE,FEMALE,LP,67,,ENUGU-NORTH,ENUGU
10,NWOKOLO CHIKA CHIOMA,FEMALE,MPN,192,,ENUGU-NORTH,ENUGU
11,UTAZI GODFREY CHUKWUKA,MALE,PDP,"146,458",ELECTED,ENUGU-NORTH,ENUGU
12,EZE MARK EZE,MALE,SDP,205,,ENUGU-NORTH,ENUGU
13,UBULU HOPE,MALE,UPP,69,,ENUGU-NORTH,ENUGU
1,NWARU CHRISTOPHER,MALE,ACPN,55,,ENUGU-WEST,ENUGU
2,OJI WAL TER,MALE,ADC,838,,ENUGU-WEST,ENUGU
3,CHIKAODILI JULIET IBEKAKU-NWAGWU,FEMALE,APC,"15,187",,ENUGU-WEST,ENUGU
4,GBAZUEAGU NWEKE GBAZUEAGU,MALE,APGA,"6,881",,ENUGU-WEST,ENUGU
5,IJEGALU ANTHONY,MALE,DA,81,,ENUGU-WEST,ENUGU
6,ORJI THANKGOD,MALE,DPP,114,,ENUGU-WEST,ENUGU
7,ANAYO BONAVENTURE ONONUGBO,MALE,GPN,28,,ENUGU-WEST,ENUGU
8,OKOLO CHIKODILI LYDIA,FEMALE,ID,21,,ENUGU-WEST,ENUGU
9,OZOANI CHINEDU ANIEBUKA,MALE,JMPP,16,,ENUGU-WEST,ENUGU
10,OKAFOR IJEOMA DOREEN,FEMALE,KP,64,,ENUGU-WEST,ENUGU
